id	skill_name	project_name	world	trit	color	embedding_text
1	A-F-X-M_skill_1	A-F-X-M	A	-1	#2f53ed	Skill: A-F-X-M_skill_1. Project: A-F-X-M. World: A. Category: validating.
2	A-F-X-M_skill_2	A-F-X-M	A	-1	#b2e2dd	Skill: A-F-X-M_skill_2. Project: A-F-X-M. World: A. Category: validating.
3	A-F-X-M_skill_3	A-F-X-M	A	-1	#0dd19b	Skill: A-F-X-M_skill_3. Project: A-F-X-M. World: A. Category: validating.
4	ACSets.jl_skill_1	ACSets.jl	A	-1	#0f3851	Skill: ACSets.jl_skill_1. Project: ACSets.jl. World: A. Category: validating.
5	ACSets.jl_skill_2	ACSets.jl	A	-1	#a970a7	Skill: ACSets.jl_skill_2. Project: ACSets.jl. World: A. Category: validating.
6	ACSets.jl_skill_3	ACSets.jl	A	-1	#bd6a9e	Skill: ACSets.jl_skill_3. Project: ACSets.jl. World: A. Category: validating.
7	ACSets.jl_skill_4	ACSets.jl	A	-1	#f0694d	Skill: ACSets.jl_skill_4. Project: ACSets.jl. World: A. Category: validating.
8	AlgebraicDynamics.jl_skill_1	AlgebraicDynamics.jl	A	-1	#687faa	Skill: AlgebraicDynamics.jl_skill_1. Project: AlgebraicDynamics.jl. World: A. Category: validating.
9	AlgebraicDynamics.jl_skill_2	AlgebraicDynamics.jl	A	-1	#72e8d4	Skill: AlgebraicDynamics.jl_skill_2. Project: AlgebraicDynamics.jl. World: A. Category: validating.
10	AlgebraicDynamics.jl_skill_3	AlgebraicDynamics.jl	A	-1	#9ad650	Skill: AlgebraicDynamics.jl_skill_3. Project: AlgebraicDynamics.jl. World: A. Category: validating.
11	.flox_skill_1	.flox	B	1	#8422ad	Skill: .flox_skill_1. Project: .flox. World: B. Category: generative.
12	.flox_skill_2	.flox	B	1	#8d2d51	Skill: .flox_skill_2. Project: .flox. World: B. Category: generative.
13	.flox_skill_3	.flox	B	1	#0e833a	Skill: .flox_skill_3. Project: .flox. World: B. Category: generative.
14	.flox_skill_4	.flox	B	1	#e62cdb	Skill: .flox_skill_4. Project: .flox. World: B. Category: generative.
15	.topos_skill_1	.topos	B	1	#15a429	Skill: .topos_skill_1. Project: .topos. World: B. Category: generative.
16	.topos_skill_2	.topos	B	1	#9fb4cb	Skill: .topos_skill_2. Project: .topos. World: B. Category: generative.
17	.topos_skill_3	.topos	B	1	#188988	Skill: .topos_skill_3. Project: .topos. World: B. Category: generative.
18	ACSets.jl_skill_1	ACSets.jl	B	1	#0f3851	Skill: ACSets.jl_skill_1. Project: ACSets.jl. World: B. Category: generative.
19	ACSets.jl_skill_2	ACSets.jl	B	1	#a970a7	Skill: ACSets.jl_skill_2. Project: ACSets.jl. World: B. Category: generative.
20	ACSets.jl_skill_3	ACSets.jl	B	1	#bd6a9e	Skill: ACSets.jl_skill_3. Project: ACSets.jl. World: B. Category: generative.
21	BENCH-case-hasheq_skill_1	BENCH-case-hasheq	F	1	#014539	Skill: BENCH-case-hasheq_skill_1. Project: BENCH-case-hasheq. World: F. Category: generative.
22	BENCH-case-hasheq_skill_2	BENCH-case-hasheq	F	1	#0a1fe0	Skill: BENCH-case-hasheq_skill_2. Project: BENCH-case-hasheq. World: F. Category: generative.
23	BENCH-case-hasheq_skill_3	BENCH-case-hasheq	F	1	#d6d2f2	Skill: BENCH-case-hasheq_skill_3. Project: BENCH-case-hasheq. World: F. Category: generative.
24	BENCH-case-hasheq_skill_4	BENCH-case-hasheq	F	1	#c7f05a	Skill: BENCH-case-hasheq_skill_4. Project: BENCH-case-hasheq. World: F. Category: generative.
25	BENCH-update-kvs_skill_1	BENCH-update-kvs	F	1	#318721	Skill: BENCH-update-kvs_skill_1. Project: BENCH-update-kvs. World: F. Category: generative.
26	BENCH-update-kvs_skill_2	BENCH-update-kvs	F	1	#bf119d	Skill: BENCH-update-kvs_skill_2. Project: BENCH-update-kvs. World: F. Category: generative.
27	BENCH-update-kvs_skill_3	BENCH-update-kvs	F	1	#1e6fd0	Skill: BENCH-update-kvs_skill_3. Project: BENCH-update-kvs. World: F. Category: generative.
