skill,trit,role
_integrated,0,COORDINATOR
abductive-repl,1,GENERATOR
academic-research,0,COORDINATOR
accept-no-substitutes,1,GENERATOR
acsets,0,COORDINATOR
acsets-hatchery,0,COORDINATOR
acsets-relational-thinking,1,GENERATOR
active-interleave,1,GENERATOR
agent-o-rama,-1,VALIDATOR
algebraic-rewriting,1,GENERATOR
algorithmic-art,0,COORDINATOR
alice,0,COORDINATOR
alife,1,GENERATOR
amp-skill,0,COORDINATOR
amp-team-usage,0,COORDINATOR
anima-theory,-1,VALIDATOR
anoma-intents,-1,VALIDATOR
aptos-agent,-1,VALIDATOR
aptos-gf3-society,-1,VALIDATOR
aptos-society,0,COORDINATOR
aptos-trading,-1,VALIDATOR
aptos-wallet-mcp,-1,VALIDATOR
aqua-voice-malleability,0,COORDINATOR
artifacts-builder,-1,VALIDATOR
asi-agent-orama,0,COORDINATOR
asi-polynomial-operads,-1,VALIDATOR
assembly-index,-1,VALIDATOR
atproto-ingest,0,COORDINATOR
attractor,0,COORDINATOR
autopoiesis,1,GENERATOR
babashka,0,COORDINATOR
babashka-clj,1,GENERATOR
backend-development,0,COORDINATOR
bafishka,-1,VALIDATOR
bdd-mathematical-verification,1,GENERATOR
behaviour-surprisal-analysis,1,GENERATOR
bidirectional-lens-logic,0,COORDINATOR
bifurcation,1,GENERATOR
bifurcation-generator,0,COORDINATOR
birkhoff-average,0,COORDINATOR
bisimulation-game,1,GENERATOR
blackhat-go,0,COORDINATOR
bluesky-jetstream,0,COORDINATOR
bmorphism-diagrams,0,COORDINATOR
bmorphism-interactome,1,GENERATOR
bmorphism-stars,1,GENERATOR
bob,-1,VALIDATOR
borkdude,1,GENERATOR
braindance-worlds,0,COORDINATOR
brand-guidelines,1,GENERATOR
browser-history-acset,0,COORDINATOR
buberian-relations,-1,VALIDATOR
bumpus-narratives,-1,VALIDATOR
calendar-acset,-1,VALIDATOR
cantordust-viz,0,COORDINATOR
canvas-design,-1,VALIDATOR
captp,-1,VALIDATOR
cargo,0,COORDINATOR
cargo-rust,-1,VALIDATOR
cat,-1,VALIDATOR
categorical-rewriting-triad4,0,COORDINATOR
cats-for-ai,-1,VALIDATOR
catsharp,-1,VALIDATOR
catsharp-galois,-1,VALIDATOR
catsharp-sonification,0,COORDINATOR
causal-inference,-1,VALIDATOR
center-manifold,-1,VALIDATOR
changelog-generator,1,GENERATOR
chaotic-attractor,1,GENERATOR
cheapskate,0,COORDINATOR
chromatic-walk,1,GENERATOR
cider-clojure,0,COORDINATOR
cider-embedding,1,GENERATOR
clj-kondo-3color,0,COORDINATOR
clojure,0,COORDINATOR
code-documentation,-1,VALIDATOR
code-refactoring,-1,VALIDATOR
code-review,-1,VALIDATOR
codex-self-rewriting,1,GENERATOR
coequalizers,-1,VALIDATOR
cognitive-superposition,1,GENERATOR
cognitive-surrogate,0,COORDINATOR
competitive-ads-extractor,0,COORDINATOR
compositional-acset-comparison,1,GENERATOR
compression-progress,0,COORDINATOR
concatenative,1,GENERATOR
condensed-analytic-stacks,0,COORDINATOR
condensed-anima-qc,-1,VALIDATOR
consensus,-1,VALIDATOR
content-research-writer,-1,VALIDATOR
coupled-system,0,COORDINATOR
covariant-fibrations,1,GENERATOR
covariant-modification,0,COORDINATOR
crdt,-1,VALIDATOR
crdt-vterm,1,GENERATOR
criticality-detector,1,GENERATOR
crn-topology,1,GENERATOR
crossmodal-gf3,0,COORDINATOR
ctp-yoneda,0,COORDINATOR
